,,,출석 점수(출석을 잘했다 ->5),과제 점수 (과제를 잘 제출했다 ->5),전공흥미도(흥미있다->5),주당 공부(복습) 시간 평균,주당 알바 시간,열람실 이용 횟수,지난 학기 전공이수학점,등교 소요 시간
,,,attendance,assignment,inestest_on_major,study_hour,part_hour,num_readingroom,major_credits,min_to_school
,,,5,5,4,35,18,4,6,15
,,,5,5,4,10,13,10,3,50분
,,,5,5,3,2,0,0,6,10
,,,5,4,3,3,0,3,6,10분
,,,5,5,2,1,10,0,6,30
,,,3,5,3,3,0,0,12,15
,,,5,5,5,0,0,0,18,35
,,,4,5,2,7,9,3,3,17분
,,,5,5,5,10,13,10,3,50분
,,,5,4,4,3,14,3,6,90
,,,5,5,5,2,0,3,12,50분
,,,5,5,5,1,15,0,6,20
,,,5,5,4,6,0,0,18,10
,,,3,4,4,0,0,0,8,10분
,,,5,5,2,1,0,0,6,16분
,,,5,4,4,0,10,0,0,60
,,,5,5,4,5,18,0,3,20분
,,,5,5,3,35,16,7,6,15
,,,5,5,3,0,27,0,17,60
,,,5,5,3,3,0,3,12,10
,,,5,5,3,1,0,0,12,0
,,,5,5,3,0,0,0,6,7
,,,3,4,4,6,0,0,NA,10분
,,,1,1,3,0,0,0,3,20
,,,5,5,5,10,0,3,6,10분
,,,2,5,3,5,0,0,6,10
,,,5,5,3,8,34,0,6,15
,,,5,5,1,0,0,0,20,30분
,,,5,5,3,5,0,0,NA,15
,,,5,5,4,2,0,0,6,1
,,,5,5,5,14,0,0,6,40
,,,5,4,5,4,0,40,18,160분
,,,5,5,4,1,0,0,6,30분
,,,5,4,1,1,10,3,18,40
,,,4,4,2,NA,15,NA,15,5분
,,,5,5,3,2,0,0,19,30
,,,5,5,4,시험 보기 전날 공부 시작해서 시간 평균 내기 어려움,8,0,15,180
,,,5,5,2,2,15,0,9,20
,,,5,5,3,3,17,1,17,50분
,,,5,5,5,2.5,15,3,6,60
,,,5,5,5,5,0,6,3,15분
,,,4,2,2,0.2,0,5,15,150
,,,5,5,5,5,0,5,18,10
,,,5,5,3,2,18,0,15,90
,,,5,4,5,3,12,,,
,,,3,3,4,2,0,0,2,20분
,,,5,5,5,1,0,0,14,10분
,,,4,5,4,,32,2,15,15
,,,5,4,5,2,0,0,6,30분
,,,5,5,3,2,14,0,6,15분
,,,4,5,3,0,0,0,21,60
,,,5,5,2,3,18,0,6,1
,,,4,5,3,5,30,0,6,15분
,,,5,5,4,7,0,0,6,10
,,,5,5,4,1,0,10,19,90분
,,,5,5,4,1,0,1,6,20분
,,,4,4,4,6,0,0,모름,10분
,,,5,5,3,3,0,2,6,10분
,,,3,4,3,0.2,0,0,6,17분
,,,2,2,3,0,12,0,3,90
,,,5,5,3,7,10,0,9,1
,,,5,5,5,3,28,7,17,40분
,,,4,5,5,2.5,3,0,6,20
,,,5,5,3,2,0,0,6,20분
,,,5,5,3,15,0,0,6,5
,,,5,5,4,6,16,0,20,10분
,,,4,4,3,2,0,6,12,20
,,,5,5,5,12,0,0,24,10
